Sl. No.,Name of District,Name of Police Station,Name of Landmark,Name of Location,Lattitude,Longitude,Name of Road,HOSPITAL NEAR LATITUDE,HOSPITAL NEAR LONGITUDE,Accident Severity Index,Type of Road,Number of Fatalities,Sum of Fatal & Grievous Injury Crashes
1,Thiruvananthapuram,Karamana,Pappanamcode Mosque - Kerala Gramin Bank,Pappanamcode Junction,8.47045988,76.98080277,National Highway 66 (NH 66),8.724141189,77.02855481,366,NH,15,102
2,Kollam,Chavara PS,Regent Lake Palace - 110m before Hindustan Petroleum,Parimanam Temple,8.954697667,76.53427424,National Highway 66 (NH 66),8.95580526,76.53451936,357,NH,17,99
3,Thiruvananthapuram,CITY TRAFFIC,Tax Towers - Karamana Junction,Karamana Junction,8.482015346,76.96707158,National Highway 66 (NH 66),8.481655783,76.96315185,314,NH,8,94
4,Malappuram,KUTTIPURAM,Vyapara Bhavan - 200m after Highway Junction,Kuttipuram Highway Junction,10.84280986,76.03002053,National Highway 66 (NH 66),10.85468139,76.03712084,306,NH,12,86
5,Thiruvananthapuram,Balaramapuram,Kodinada Junction - Indian Oil Petrol Pump,Balaramapuram Junction,8.430501136,77.04641733,National Highway 66 (NH 66),8.426988217,77.0438046,300,NH,6,92
6,Ernakulam,ANGAMALI,HP Petrol Pump - Angamali Junction,Angamali Junction,10.1930052,76.38685187,National Highway 544 (NH - 544),10.19154636,76.38904654,297,NH,12,83
7,Alappuzha,KUTHIYATHODE,Jn),Thuravoor Junction,9.768810399,76.31824372,National Highway 66 (NH 66),9.816742225,76.31341335,275,NH,14,73
8,Alappuzha,AROOR,100m before Aroor Police Station - 100m after St. Mary's Church Chandiroor,Chandiroor,9.850948098,76.30738311,National Highway 66 (NH 66),9.849967668,76.30801248,264,NH,16,68
9,Alappuzha,Harippad,120m after Kunjanvathukal Temple - 120m before Karuvatta Post Office,"Ashramam, Karuvatta South",9.313443649,76.42901328,National Highway 66 (NH 66),9.36558323,76.47656058,262,NH,18,66
10,Thiruvananthapuram,CITY TRAFFIC,East Fort KSRTC Depo Junction - Attakulangara Junction,East Fort Junction,8.484180593,76.9476251,Mahatma Gandhi road,8.487796878,76.94868309,250,OR,10,70
